City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2022-03-08 20:33:28,-42.8794,147.3294,280.07,87,20,3.09
68,Kabalo,CD,2022-03-08 20:34:46,-6.05,26.9167,295.52,92,97,0.85
69,Pangnirtung,CA,2022-03-08 20:34:46,66.1451,-65.7125,255.15,78,100,3.6
70,Ushuaia,AR,2022-03-08 20:32:21,-54.8,-68.3,284.96,76,75,6.17
71,Tabou,CI,2022-03-08 20:34:47,4.423,-7.3528,299.68,87,100,1.75
72,Namibe,AO,2022-03-08 20:34:47,-15.1961,12.1522,296.25,73,100,3.16
73,Aktau,KZ,2022-03-08 20:34:48,43.65,51.2,279.47,86,13,3.27
74,Puerto Baquerizo Moreno,EC,2022-03-08 20:34:48,-0.9,-89.6,300.7,78,20,5.14
75,Alexandria,EG,2022-03-08 20:30:18,31.2156,29.9553,288.13,82,40,5.66
76,Ambon,ID,2022-03-08 20:34:49,-3.6954,128.1814,297.23,94,40,1.54
77,Mar Del Plata,AR,2022-03-08 20:31:38,-38.0023,-57.5575,295.16,83,0,8.05
78,Qaanaaq,GL,2022-03-08 20:34:50,77.484,-69.3632,254.02,70,68,3.63
79,Mandalgovi,MN,2022-03-08 20:34:50,45.7625,106.2708,273.0,38,17,3.5
80,East London,ZA,2022-03-08 20:34:51,-33.0153,27.9116,295.52,72,99,2.12
81,Asau,RO,2022-03-08 20:34:51,46.4333,26.4,272.46,94,71,1.42
82,San Ramon,US,2022-03-08 20:34:51,37.7799,-121.978,295.68,30,0,4.63
83,Bara,NG,2022-03-08 20:34:52,10.3744,10.7288,303.03,14,98,1.79
84,Pevek,RU,2022-03-08 20:33:07,69.7008,170.3133,249.35,100,70,0.74
85,Haines Junction,CA,2022-03-08 20:35:52,60.7522,-137.5108,261.12,56,82,1.03
86,Cabo San Lucas,MX,2022-03-08 20:31:56,22.8909,-109.9124,300.16,47,0,4.63
87,Islamkot,PK,2022-03-08 20:35:53,24.6997,70.177,297.35,22,0,4.8
88,Bredasdorp,ZA,2022-03-08 20:35:44,-34.5322,20.0403,294.42,83,45,5.66
89,Mount Gambier,AU,2022-03-08 20:34:54,-37.8333,140.7667,287.1,77,100,7.72
90,Tasiilaq,GL,2022-03-08 20:33:14,65.6145,-37.6368,265.24,58,100,3.45
91,Port-Gentil,GA,2022-03-08 20:35:54,-0.7193,8.7815,301.15,79,99,3.58
92,Dzilam Gonzalez,MX,2022-03-08 20:35:54,21.2833,-88.9333,307.24,39,61,3.67
93,New Norfolk,AU,2022-03-08 20:35:55,-42.7826,147.0587,279.87,73,0,0.67
94,Puerto Ayora,EC,2022-03-08 20:31:17,-0.7393,-90.3518,303.13,74,72,0.51
95,Lorengau,PG,2022-03-08 20:35:54,-2.0226,147.2712,299.95,77,100,1.02
96,Saskylakh,RU,2022-03-08 20:35:56,71.9167,114.0833,239.45,100,79,2.38
97,Pacific Grove,US,2022-03-08 20:32:37,36.6177,-121.9166,296.82,46,0,2.57
98,San Andres,CO,2022-03-08 20:35:56,12.5847,-81.7006,302.16,65,20,5.14
99,Kiunga,PG,2022-03-08 20:35:57,-6.1219,141.2906,295.33,100,100,0.61
100,Ulladulla,AU,2022-03-08 20:35:57,-35.35,150.4667,292.09,78,100,11.92
101,Kloulklubed,PW,2022-03-08 20:35:57,7.0419,134.2556,297.43,79,60,3.24
102,Tombouctou,ML,2022-03-08 20:35:58,20.0,-3.0,294.1,12,36,4.72
103,Weyburn,CA,2022-03-08 20:35:58,49.6668,-103.8511,260.27,78,100,12.35
104,Port Alfred,ZA,2022-03-08 20:34:50,-33.5906,26.891,295.44,73,79,4.51
105,Muroto,JP,2022-03-08 20:35:59,33.2833,134.15,283.11,60,66,1.65
106,Vrangel,RU,2022-03-08 20:31:23,42.7297,133.0839,273.2,64,0,2.61
107,Smithers,CA,2022-03-08 20:34:23,54.7804,-127.1743,274.33,47,40,0.0
108,Kalundborg,DK,2022-03-08 20:36:00,55.6795,11.0886,273.2,68,99,1.79
109,Hualmay,PE,2022-03-08 20:36:00,-11.0964,-77.6139,298.61,67,73,4.39
110,Sao Joao Da Barra,BR,2022-03-08 20:36:00,-21.6403,-41.0511,302.2,81,9,5.5
111,Hithadhoo,MV,2022-03-08 20:35:45,-0.6,73.0833,301.38,68,100,4.26
112,Castro,BR,2022-03-08 20:36:01,-24.7911,-50.0119,293.8,93,86,0.6
113,Hilo,US,2022-03-08 20:36:01,19.7297,-155.09,300.0,63,0,4.12
114,Hofn,IS,2022-03-08 20:36:02,64.2539,-15.2082,278.56,82,100,9.53
115,Harrai,IN,2022-03-08 20:36:03,22.6167,79.2167,294.38,28,27,0.43
116,Grand Gaube,MU,2022-03-08 20:35:55,-20.0064,57.6608,298.37,88,83,0.89
117,College,US,2022-03-08 20:34:46,64.8569,-147.8028,268.96,66,75,0.0
118,Shimoda,JP,2022-03-08 20:36:04,34.6667,138.95,278.76,80,85,5.7
119,Katobu,ID,2022-03-08 20:36:04,-4.9408,122.5276,296.88,94,91,0.43
120,Talnakh,RU,2022-03-08 20:34:19,69.4865,88.3972,239.29,94,100,1.8
121,Lacey,US,2022-03-08 20:36:05,47.0343,-122.8232,282.13,92,100,2.06
122,Karpathos,GR,2022-03-08 20:36:05,35.507,27.2132,286.13,82,100,1.54
123,Victoria,HK,2022-03-08 20:32:40,22.2855,114.1577,289.44,71,2,5.81
124,Rajbiraj,NP,2022-03-08 20:36:06,26.5333,86.75,293.82,39,45,3.32
125,Itimadpur,IN,2022-03-08 20:36:06,27.25,78.2,293.06,32,12,2.54
126,Port Elizabeth,ZA,2022-03-08 20:34:17,-33.918,25.5701,294.32,83,75,2.57
127,Puerto Gaitan,CO,2022-03-08 20:35:01,4.3133,-72.0816,306.99,34,100,4.37
128,Narsaq,GL,2022-03-08 20:36:07,60.9167,-46.05,261.27,74,2,2.85
129,Olafsvik,IS,2022-03-08 20:36:08,64.8945,-23.7142,277.72,80,100,10.14
130,Cururupu,BR,2022-03-08 20:36:08,-1.8283,-44.8683,298.06,91,20,2.17
131,Huarmey,PE,2022-03-08 20:36:08,-10.0681,-78.1522,298.78,69,37,3.98
132,Montepuez,MZ,2022-03-08 20:37:09,-13.1256,38.9997,293.96,98,100,1.39
133,Sovetskiy,RU,2022-03-08 20:37:10,61.3614,63.5842,246.23,99,29,0.5
134,Tarbagatay,RU,2022-03-08 20:37:10,51.4803,107.3602,260.89,100,100,1.72
135,Ayan,RU,2022-03-08 20:37:10,56.45,138.1667,258.42,84,13,3.42
136,Hasaki,JP,2022-03-08 20:37:11,35.7333,140.8333,274.42,62,32,7.12
137,Ternate,ID,2022-03-08 20:37:11,0.8,127.4,300.42,77,100,2.14
138,High Level,CA,2022-03-08 20:37:12,58.5169,-117.136,261.21,67,75,3.6
139,Lagoa,PT,2022-03-08 20:33:13,39.05,-27.9833,288.34,81,52,10.23
140,Impfondo,CG,2022-03-08 20:37:12,1.6381,18.0667,298.27,72,100,1.51
141,Bressuire,FR,2022-03-08 20:37:13,46.9167,-0.5,281.14,97,85,4.53
142,Agadir,MA,2022-03-08 20:37:13,30.4202,-9.5982,288.4,80,37,3.02
143,Yankton,US,2022-03-08 20:37:14,42.8711,-97.3973,273.77,80,100,8.75
144,Kavieng,PG,2022-03-08 20:37:14,-2.5744,150.7967,300.8,79,86,6.63
