City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Riverdale,US,70.93,few clouds,33.5726,-84.4133,Travelodge by Wyndham Forest Park Atlanta South
196,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
198,Tual,ID,83.61,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
200,Poso,ID,77.22,moderate rain,-1.3959,120.7524,Hotel 77 Poso
202,Pisco,PE,73.45,light rain,-13.7,-76.2167,Hotel San Isidro Oficial
205,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
206,Araouane,ML,75.16,clear sky,18.9048,-3.5265,
210,Cozumel,MX,84.27,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
211,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
212,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
215,Arlit,NE,73.8,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
219,Lodja,CD,70.95,light rain,-3.4833,23.4333,
224,Isiro,CD,76.98,overcast clouds,2.7739,27.616,Guest House Hewa Bora
226,East London,ZA,71.04,few clouds,-33.0153,27.9116,Tu Casa
227,Cimitarra,CO,82.98,few clouds,6.3142,-73.9497,HOTEL CARARE PLAZA
231,Tombouctou,ML,73.83,clear sky,20.0,-3.0,
233,Miri,MY,73.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
239,Camana,PE,74.23,clear sky,-16.6228,-72.7111,Hostal Morales
240,Luwuk,ID,77.38,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
241,Sangamner,IN,72.5,scattered clouds,19.5667,74.2167,Panchavati Group of Hotels & Motels
243,Nueva Londres,PY,79.18,overcast clouds,-25.4045,-56.5498,Ganadera San Nicolas!
245,Binga,ZW,72.0,few clouds,-17.6203,27.3414,Lakeview Inn Binga
247,Camacari,BR,83.97,broken clouds,-12.6975,-38.3242,Sítio Blasi
248,Benguela,AO,79.36,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
251,Port Alfred,ZA,70.66,scattered clouds,-33.5906,26.891,The Halyards Hotel
253,Tariba,VE,75.76,broken clouds,7.8188,-72.2243,Hotel Las Lomas
254,Labuhan,ID,76.86,overcast clouds,-6.8844,112.2051,DoubleFAG
257,Kavaratti,IN,82.11,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
259,San Miguel,SV,89.26,few clouds,13.4833,-88.1833,Excalibur
263,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
264,Antalaha,MG,75.76,light rain,-14.9003,50.2788,Hotel Vitasoa
266,Mulege,MX,73.8,broken clouds,26.8833,-111.9833,Casa Granada
267,Matagalpa,NI,87.76,clear sky,12.9256,-85.9175,Hostal El Rey
268,Tecoanapa,MX,84.38,clear sky,16.5167,-98.75,Hotel Manglares
271,Atakpame,TG,81.7,overcast clouds,7.5333,1.1333,Hôtel sahélien
272,Qandala,SO,76.1,overcast clouds,11.472,49.8728,
273,Marang,MY,75.11,overcast clouds,5.2056,103.2059,DBarakah Homestay
279,Morondava,MG,81.07,light rain,-20.2833,44.2833,La Case Bambou
286,Bac Lieu,VN,76.71,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
288,Gharo,PK,71.82,clear sky,24.7424,67.5856,Fotis Lodge
290,Charters Towers,AU,80.15,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
295,Venice,US,78.98,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
300,Ilheus,BR,82.22,scattered clouds,-14.7889,-39.0494,Barravento Hotel
301,Touros,BR,81.55,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
305,Mae Sai,TH,72.68,few clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
306,Hithadhoo,MV,81.59,few clouds,-0.6,73.0833,Scoop Guest House
307,Seybaplaya,MX,87.26,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
310,Riberalta,BO,75.4,thunderstorm,-10.9833,-66.1,Hotel Colonial
311,Harper,LR,81.16,overcast clouds,4.375,-7.7169,Screensaver
312,Sechura,PE,82.9,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
314,Lae,PG,78.85,overcast clouds,-6.7221,146.9847,Phils Hotel
315,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
319,Garissa,KE,79.75,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
323,Panaba,MX,94.96,scattered clouds,21.2833,-88.2667,Hotel California
324,Kimbe,PG,79.86,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
331,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
332,Kapit,MY,72.39,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
335,Vallenar,CL,78.67,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
340,San Angelo,US,79.02,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
341,Caloundra,AU,71.89,light rain,-26.8,153.1333,Watermark Resort Caloundra
342,Diapaga,BF,89.65,broken clouds,12.0708,1.7889,
343,Riyadh,SA,86.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
344,Kavieng,PG,82.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
345,Bandarbeyla,SO,75.92,overcast clouds,9.4942,50.8122,JABIR HOTEL
348,Giyani,ZA,71.82,broken clouds,-23.3025,30.7187,Kulani Country Lodge
353,Noumea,NC,81.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
354,Sao Paulo De Olivenca,BR,79.3,broken clouds,-3.3783,-68.8725,
356,Lagos,NG,82.72,overcast clouds,6.5833,3.75,
357,Bartica,GY,80.92,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
358,Emerald,AU,75.34,few clouds,-23.5333,148.1667,The Irish Village
360,Humaita,BR,78.93,light rain,-7.5061,-63.0208,Corrêa Hotel
362,Ihosy,MG,70.0,overcast clouds,-22.4,46.1167,Hotely Sariaka
370,Curumani,CO,86.5,broken clouds,9.1999,-73.5427,Hotel Mayumir
375,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
379,Namibe,AO,73.26,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
380,Sao Joao Da Barra,BR,78.96,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
381,Torit,SS,86.23,overcast clouds,4.4133,32.5678,Diplomat Guest House
387,Lima,PE,70.39,fog,-12.0432,-77.0282,Hotel Kamana
388,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
390,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
392,Morgan City,US,75.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
397,Padang,ID,76.73,light rain,-0.9492,100.3543,Mercure Padang
401,Belmonte,BR,78.66,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
403,Sibolga,ID,76.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
407,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
408,Mocuba,MZ,71.08,overcast clouds,-16.8392,36.9856,Phama Lodge
413,Santa Maria,BR,70.9,broken clouds,-29.6842,-53.8069,Hotel Morotin
